     1.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000     1.000     0.000    50.590     0.008     0.013     0.000     0.938     0.041     4.000
     1.000     0.000     1.000     0.000     0.000     1.000     1.000     0.000     1.000     1.000    44.240     0.280     0.005     0.001     0.675     0.039     4.000
     0.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000    68.580     0.265     0.195     0.001     0.071     0.468     5.000
     1.000     0.000     1.000     0.000     0.000     1.000     0.000     0.000     1.000     1.000    73.830     0.404     0.003     0.031     0.360     0.202     1.000
     1.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000         *     0.010     0.003     0.018     0.000     0.969     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    50.860     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     1.000     1.000         *     1.000         *     1.000     1.000     1.000     0.000    51.190     0.045     0.858     0.000     0.024     0.073     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000    72.580     0.001     0.819     0.000     0.009     0.170     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    68.620     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    50.700     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     0.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000    56.830     0.081     0.756     0.000     0.009     0.154     2.000
     0.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000    37.210     0.230     0.000     0.703     0.002     0.065     3.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    84.210     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000    60.370     0.992     0.000     0.000     0.007     0.000     1.000
     1.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    47.860     0.005     0.000     0.986     0.000     0.008     3.000
     0.000     0.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000         *     0.460     0.028     0.022     0.000     0.489     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000         *     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    65.180     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    59.790     0.011     0.954     0.000     0.015     0.020     2.000
     0.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    39.990     0.573     0.398     0.000     0.003     0.026     1.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     0.000     0.000    60.800     0.011     0.012     0.000     0.908     0.068     4.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    69.140     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     0.000     1.000     1.000     0.000     1.000     1.000     0.000         *     0.012     0.670     0.000     0.171     0.148     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    58.280     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000         *     0.005     0.788     0.000     0.191     0.017     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000         *     0.000     0.001     0.005     0.000     0.995     5.000
     1.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000         *     0.015     0.008     0.001     0.611     0.364     4.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    61.060     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     0.000    41.700     0.002     0.267     0.000     0.003     0.728     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    67.080     0.000     0.986     0.000     0.006     0.008     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000    37.270     0.004     0.027     0.000     0.964     0.004     4.000
     0.000     1.000         *     1.000     1.000     1.000     0.000     1.000     0.000     0.000         *     0.053     0.087     0.008     0.001     0.851     5.000
     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    56.390     0.035     0.936     0.000     0.010     0.019     2.000
     1.000     0.000     0.000     1.000     0.000     1.000     0.000     1.000     1.000     1.000    47.330     0.894     0.011     0.004     0.048     0.043     1.000
     1.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     0.000     1.000    66.370     0.002     0.005     0.005     0.005     0.983     5.000
     1.000     0.000     1.000     1.000     1.000     0.000     0.000     1.000     1.000     0.000         *     0.064     0.148     0.002     0.003     0.782     5.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000    81.510     0.005     0.788     0.000     0.191     0.017     2.000
     0.000     0.000     1.000     0.000     0.000     1.000     1.000         *     1.000     1.000    65.740     0.922     0.001     0.001     0.072     0.004     1.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     0.000     1.000     0.000    50.590     0.012     0.522     0.000     0.253     0.214     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000         *     0.001     0.918     0.000     0.006     0.075     2.000
     1.000     1.000     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000         *     0.129     0.001     0.044     0.481     0.344     4.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    71.600     0.004     0.000     0.996     0.000     0.001     3.000
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000     1.000     0.000    51.220     0.874     0.000     0.111     0.000     0.015     1.000
     1.000     0.000     0.000         *     0.000     0.000     1.000     0.000     1.000     0.000         *     0.688     0.001     0.122     0.058     0.132     1.000
     1.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     1.000     0.000    61.610     0.015     0.009     0.002     0.683     0.291     4.000
     1.000     0.000     1.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000    60.260     0.100     0.000     0.340     0.042     0.518     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    76.850     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     0.000     0.000     0.000     1.000         *     1.000     1.000     1.000     1.000         *     0.995     0.001     0.001     0.001     0.002     1.000
     0.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000     1.000     1.000         *     0.075     0.016     0.007     0.021     0.880     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     0.000     1.000    72.690     0.002     0.267     0.000     0.003     0.728     5.000
     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    51.560     0.011     0.954     0.000     0.015     0.020     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000     1.000    63.890     0.000     0.014     0.001     0.000     0.985     5.000
     0.000     0.000     0.000     1.000     1.000     0.000     0.000     0.000     0.000     1.000    54.370     0.007     0.000     0.974     0.000     0.019     3.000
     0.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000    72.070     0.033     0.758     0.000     0.003     0.205     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000    36.290     0.004     0.027     0.000     0.964     0.004     4.000
     0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000     1.000         *     0.990     0.000     0.007     0.003     0.001     1.000
     0.000     0.000     1.000     1.000     0.000     1.000     0.000     0.000     1.000     1.000    71.840     0.747     0.002     0.064     0.005     0.183     1.000
     1.000     1.000     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000         *     0.007     0.001     0.020     0.146     0.826     5.000
     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000    83.730     0.005     0.788     0.000     0.191     0.017     2.000
     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000    73.840     0.000     0.014     0.001     0.000     0.985     5.000
     0.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000    67.430     0.157     0.676     0.000     0.118     0.048     2.000
     1.000     1.000     1.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000    56.720     0.004     0.027     0.000     0.964     0.004     4.000
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000    65.170     0.001     0.126     0.000     0.003     0.870     5.000
     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000     1.000         *     0.001     0.819     0.000     0.009     0.170     2.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     0.000     1.000    57.250     0.000     0.019     0.001     0.000     0.979     5.000
     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.000    57.950     0.000     0.986     0.000     0.006     0.008     2.000
     0.000     0.000     0.000     0.000     0.000     1.000     1.000     1.000     1.000     0.000    42.470     0.992     0.000     0.000     0.007     0.000     1.000
     1.000     1.000     1.000     1.000     1.000     1.000     0.000     1.000     1.000     1.000    59.660     0.001     0.918     0.000     0.006     0.075     2.000
     1.000     0.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000    42.830     0.035     0.936     0.000     0.010     0.019     2.000
