1	1	1	1	1	1	1	1	1	1	67.08	0	0.986	0	0.006	0.008	2
1	1	1	0	0	1	1	1	1	0	37.27	0.004	0.027	0	0.964	0.004	4
0	1	.	1	1	1	0	1	0	0	.	0.053	0.087	0.008	0.001	0.851	5
1	0	1	1	1	1	1	1	1	0	56.39	0.035	0.936	0	0.01	0.019	2
1	0	0	1	0	1	0	1	1	1	47.33	0.894	0.011	0.004	0.048	0.043	1
1	1	1	0	1	0	0	1	0	1	66.37	0.002	0.005	0.005	0.005	0.983	5
1	0	1	1	1	0	0	1	1	0	.	0.064	0.148	0.002	0.003	0.782	5
1	1	1	0	1	1	1	1	1	0	81.51	0.005	0.788	0	0.191	0.017	2
0	0	1	0	0	1	1	.	1	1	65.74	0.922	0.001	0.001	0.072	0.004	1
1	1	1	0	1	1	1	0	1	0	50.59	0.012	0.522	0	0.253	0.214	2
1	1	1	1	1	1	0	1	1	1	.	0.001	0.918	0	0.006	0.075	2
1	1	0	0	0	1	1	0	0	0	.	0.129	0.001	0.044	0.481	0.344	4
0	0	0	0	0	0	0	0	0	0	71.6	0.004	0	0.996	0	0.001	3
0	0	0	0	1	0	0	1	1	0	51.22	0.874	0	0.111	0	0.015	1
1	0	0	.	0	0	1	0	1	0	.	0.688	0.001	0.122	0.058	0.132	1
1	1	1	0	0	1	0	0	1	0	61.61	0.015	0.009	0.002	0.683	0.291	4
1	0	1	0	0	0	1	0	0	0	60.26	0.1	0	0.34	0.042	0.518	5
1	1	1	1	1	1	1	1	1	1	76.85	0	0.986	0	0.006	0.008	2
0	0	0	0	1	.	1	1	1	1	.	0.995	0.001	0.001	0.001	0.002	1
0	1	1	1	0	0	0	1	1	1	.	0.075	0.016	0.007	0.021	0.88	5
1	1	1	1	1	1	0	1	0	1	72.69	0.002	0.267	0	0.003	0.728	5
1	1	0	1	1	1	1	1	1	1	51.56	0.011	0.954	0	0.015	0.02	2
1	1	1	1	1	0	0	1	0	1	63.89	0	0.014	0.001	0	0.985	5
0	0	0	1	1	0	0	0	0	1	54.37	0.007	0	0.974	0	0.019	3
0	1	1	1	1	1	0	1	1	0	72.07	0.033	0.758	0	0.003	0.205	2
1	1	1	0	0	1	1	1	1	0	36.29	0.004	0.027	0	0.964	0.004	4
0	0	0	0	0	1	0	1	1	1	.	0.99	0	0.007	0.003	0.001	1
0	0	1	1	0	1	0	0	1	1	71.84	0.747	0.002	0.064	0.005	0.183	1
1	1	1	0	0	0	0	0	1	0	.	0.007	0.001	0.02	0.146	0.826	5
1	1	1	0	1	1	1	1	1	0	83.73	0.005	0.788	0	0.191	0.017	2
1	1	1	1	1	0	0	1	0	0	73.84	0	0.014	0.001	0	0.985	5
0	1	1	0	1	1	1	1	1	0	67.43	0.157	0.676	0	0.118	0.048	2
1	1	1	0	0	1	1	1	1	0	56.72	0.004	0.027	0	0.964	0.004	4
1	1	1	1	1	0	1	1	0	0	65.17	0.001	0.126	0	0.003	0.87	5
1	1	1	1	1	0	1	1	1	1	.	0.001	0.819	0	0.009	0.17	2
1	1	1	1	1	1	0	0	0	1	57.25	0	0.019	0.001	0	0.979	5
1	1	1	1	1	1	1	1	1	0	57.95	0	0.986	0	0.006	0.008	2
0	0	0	0	0	1	1	1	1	0	42.47	0.992	0	0	0.007	0	1
1	1	1	1	1	1	0	1	1	1	59.66	0.001	0.918	0	0.006	0.075	2
1	0	1	1	1	1	1	1	1	1	42.83	0.035	0.936	0	0.01	0.019	2
1	1	1	1	1	1	1	1	1	1	.	0	0.986	0	0.006	0.008	2
0	0	0	1	1	0	0	0	1	0	60.86	0.198	0	0.708	0	0.095	3
0	0	0	0	1	0	0	1	0	1	72.8	0.164	0	0.821	0	0.016	3
1	1	1	1	1	1	1	1	0	0	.	0.002	0.78	0	0.009	0.208	2
1	1	1	1	1	1	1	1	1	0	.	0	0.986	0	0.006	0.008	2
0	0	1	1	1	0	1	1	1	1	36.38	0.678	0.117	0.001	0.002	0.202	1
0	0	0	0	0	0	0	0	0	1	62.18	0.004	0	0.996	0	0.001	3
1	1	1	1	1	1	1	1	1	0	60.53	0	0.986	0	0.006	0.008	2
0	0	0	0	0	0	0	0	0	0	.	0.004	0	0.996	0	0.001	3
0	0	1	0	0	1	1	0	0	0	.	0.802	0	0.129	0.013	0.056	1
0	1	1	0	0	0	1	1	1	1	.	0.271	0.011	0.001	0.559	0.158	4
1	1	1	0	0	0	0	1	1	1	54.24	0.015	0.008	0.001	0.611	0.364	4
1	1	1	1	1	1	1	1	1	0	62.13	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	1	1	1	0	67.43	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	1	1	1	1	.	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	1	1	1	0	92.08	0	0.986	0	0.006	0.008	2
1	1	1	0	0	1	0	.	.	0	.	0.012	0.019	0.002	0.806	0.16	4
1	1	1	1	1	1	1	1	1	1	54.67	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	1	1	1	1	52.73	0	0.986	0	0.006	0.008	2
1	1	1	0	0	1	1	1	0	0	45.17	0.011	0.012	0	0.908	0.068	4
0	0	0	0	0	1	0	0	1	0	.	0.81	0	0.186	0.001	0.003	1
1	.	1	0	1	0	0	1	1	1	.	0.062	0.119	0.003	0.063	0.753	5
1	1	1	1	1	1	1	1	1	0	67.09	0	0.986	0	0.006	0.008	2
1	1	1	1	1	0	1	1	1	0	65.99	0.001	0.819	0	0.009	0.17	2
1	1	1	1	1	1	1	1	1	0	.	0	0.986	0	0.006	0.008	2
1	1	1	0	1	1	1	1	1	0	70.42	0.005	0.788	0	0.191	0.017	2
0	1	1	0	1	1	1	1	0	0	48.16	0.265	0.195	0.001	0.071	0.468	5
1	1	1	0	0	1	1	1	1	1	53.05	0.004	0.027	0	0.964	0.004	4
1	0	1	0	0	0	1	1	1	0	.	0.295	0.005	0.001	0.647	0.052	4
1	0	1	1	1	1	1	1	1	1	43.26	0.035	0.936	0	0.01	0.019	2
0	0	0	1	1	0	1	1	0	0	.	0.763	0.001	0.121	0	0.115	1
1	1	1	1	1	0	0	1	1	0	66.38	0.001	0.319	0	0.004	0.676	5
1	1	1	0	0	1	1	.	1	0	.	0.005	0.026	0	0.962	0.008	4
1	1	1	1	1	1	1	1	1	0	.	0	0.986	0	0.006	0.008	2
1	0	1	0	1	1	1	1	0	1	36.2	0.471	0.141	0.001	0.133	0.254	1
0	0	1	1	1	0	0	0	0	1	50.03	0.01	0	0.669	0	0.321	3
1	1	1	0	0	1	1	1	1	1	.	0.004	0.027	0	0.964	0.004	4
1	1	1	1	1	1	1	1	1	1	.	0	0.986	0	0.006	0.008	2
0	0	0	1	1	0	0	1	0	1	48.8	0.178	0	0.727	0	0.095	3
1	1	1	0	1	1	1	1	1	1	61.48	0.005	0.788	0	0.191	0.017	2
1	0	1	0	0	1	0	0	0	1	52.55	0.139	0	0.419	0.044	0.398	3
0	1	1	0	1	1	1	1	0	1	57.14	0.265	0.195	0.001	0.071	0.468	5
0	1	1	0	1	1	1	1	1	0	71.27	0.157	0.676	0	0.118	0.048	2
0	0	0	0	1	1	1	1	1	1	.	0.996	0.002	0	0.001	0.001	1
1	1	1	0	0	0	.	1	0	0	30.95	0.01	0.002	0.011	0.296	0.68	5
1	0	1	0	0	0	0	1	1	0	.	0.398	0.002	0.026	0.322	0.252	1
1	1	1	1	1	1	1	1	1	0	67.92	0	0.986	0	0.006	0.008	2
1	1	1	.	0	1	0	1	1	1	70.76	0.011	0.132	0	0.756	0.101	4
0	1	1	0	1	0	0	.	0	0	77.93	0.011	0.001	0.222	0	0.765	5
1	0	0	0	1	0	0	1	0	0	40.91	0.174	0	0.634	0.001	0.191	3
1	1	1	0	1	1	0	1	1	1	55.52	0.012	0.67	0	0.171	0.148	2
1	1	1	0	1	0	0	0	1	0	65.49	0.002	0.009	0.005	0.009	0.975	5
1	1	1	1	1	0	1	1	0	1	71.76	0.001	0.126	0	0.003	0.87	5
0	0	0	1	0	0	0	0	0	1	44.5	0.005	0	0.992	0	0.004	3
1	1	1	0	0	0	0	0	1	0	77.72	0.007	0.001	0.02	0.146	0.826	5
1	1	1	1	1	0	0	1	0	1	29.63	0	0.014	0.001	0	0.985	5
1	1	1	1	1	1	0	1	1	0	36.14	0.001	0.918	0	0.006	0.075	2
