1550	2	0	1	1	1	1	1	1	1	1	1
1551	2	0	1	1	1	1	1	1	1	1	1
1552	2	0	0	0	1	0	0	1	1	.	1
1553	2	.	0	0	0	0	0	0	0	0	0
1558	2	0	1	1	1	1	1	1	0	1	1
1560	2	0	1	1	1	0	1	1	1	1	1
1566	2	.	1	1	1	1	0	0	1	1	0
1570	2	0	0	1	0	1	0	0	0	0	0
1572	2	0	0	0	1	0	1	1	0	0	0
1573	2	.	1	1	1	1	1	1	1	1	1
1575	2	0	0	0	0	0	0	0	0	0	0
1576	2	0	1	1	1	1	1	1	1	1	1
1577	2	.	0	0	0	0	1	1	1	1	1
1579	2	0	0	1	0	0	0	1	1	1	1
1580	2	.	0	0	0	0	0	1	1	.	1
1581	2	0	0	0	1	1	1	1	0	1	0
1584	2	.	0	0	0	0	0	0	0	1	1
1586	2	0	0	0	1	0	0	0	0	0	0
1587	2	0	0	0	0	0	0	0	1	0	0
1588	2	.	1	1	1	0	1	1	1	1	1
1590	2	0	.	.	.	.	.	.	.	.	.
1594	2	.	0	0	1	0	0	1	1	1	1
1595	2	0	.	.	.	.	.	.	.	.	.
1598	2	0	.	.	.	.	.	.	.	.	.
1599	2	0	1	1	0	0	1	1	0	1	1
1602	2	0	1	1	1	1	1	1	1	1	1
1606	2	0	1	1	1	1	1	1	0	1	1
1607	2	.	1	0	1	0	0	1	1	1	1
1609	2	0	1	1	1	0	0	1	1	1	0
1612	2	0	0	1	1	1	1	1	1	1	1
1614	2	.	0	1	0	0	1	0	0	0	0
1615	2	0	0	0	0	0	0	0	0	0	1
1617	2	.	0	0	0	0	0	0	1	1	1
1618	2	0	1	1	1	1	1	0	1	1	1
1619	2	0	0	0	0	1	1	0	0	0	0
1621	2	0	1	1	1	1	1	1	0	1	1
1622	2	0	1	1	1	1	1	1	1	1	1
1623	2	.	1	0	1	0	0	0	0	1	0
1625	2	.	0	0	0	0	0	1	1	1	1
1626	2	0	1	1	1	1	1	1	1	1	1
1629	2	0	0	1	1	1	1	1	1	0	0
1632	2	0	1	1	1	1	1	1	1	1	1
1634	2	0	0	0	0	0	0	0	0	0	0
1636	2	.	1	1	0	1	0	1	1	0	0
1639	2	0	1	0	1	1	1	1	1	1	1
1640	2	0	1	1	1	1	1	1	1	1	0
1641	2	0	1	1	1	1	1	1	1	1	1
1642	2	0	1	1	1	0	0	0	0	0	1
1643	2	0	1	1	1	0	1	0	0	1	0
1646	2	.	1	1	1	1	1	0	1	1	1
1647	2	0	1	1	1	.	1	1	0	0	1
1649	2	0	1	1	0	1	1	1	.	1	1
1653	2	0	1	1	1	1	1	1	0	0	1
1654	2	1	1	1	1	1	1	1	1	1	0
1656	2	0	1	1	1	1	1	1	1	1	1
1657	2	.	1	1	1	1	1	1	1	1	1
1658	2	0	1	1	1	1	1	0	0	1	0
1660	2	0	1	0	1	1	1	1	1	0	1
1661	2	0	.	.	.	.	.	.	.	.	.
1663	2	0	0	0	0	0	1	1	1	1	1
1665	2	0	1	1	1	1	1	1	0	1	0
1667	2	0	0	1	1	0	1	0	0	1	0
1668	2	0	1	1	1	1	1	1	1	1	1
1670	2	.	1	1	0	1	1	0	0	1	1
1671	2	.	1	1	1	1	1	1	0	0	1
1672	2	0	1	1	1	0	0	1	1	1	1
1673	2	0	1	1	1	1	1	1	1	1	1
1677	2	0	1	1	1	1	1	1	1	1	1
1678	2	.	0	0	1	0	1	0	1	0	0
1681	2	.	0	0	0	0	0	0	1	1	1
1682	2	0	1	1	1	1	1	1	1	1	1
1684	2	0	1	1	1	1	0	1	1	1	1
1685	2	0	1	1	1	0	1	0	1	1	1
1686	2	1	1	1	1	1	1	1	1	0	0
1690	2	.	1	1	1	1	1	1	0	1	1
1692	2	0	.	.	.	.	.	.	.	.	.
1693	2	.	.	.	.	.	.	.	.	.	.
1694	2	.	1	1	1	0	0	1	1	1	1
1695	2	0	0	1	0	0	0	1	1	1	1
1697	2	0	1	1	0	0	0	0	0	0	1
1701	2	0	1	1	1	1	1	0	1	0	0
1705	2	0	1	1	1	1	1	1	1	0	1
1708	2	0	.	.	.	.	.	.	.	.	.
1713	2	.	.	.	.	.	.	.	.	.	.
1714	2	0	0	1	1	1	1	.	1	1	1
1716	2	0	1	1	1	1	1	1	1	1	1
1717	2	0	1	1	1	0	1	1	0	0	0
1720	2	.	.	.	.	.	.	.	.	.	.
1721	2	.	1	1	1	1	1	1	0	1	1
1723	2	.	1	1	1	1	1	0	0	0	1
1727	2	0	1	0	1	0	1	0	0	0	1
1730	2	0	0	0	0	0	0	0	0	1	0
1731	2	0	1	1	1	0	1	0	0	1	1
1733	2	.	0	0	0	0	0	0	1	1	0
1734	2	0	1	1	1	1	1	1	1	1	1
1738	2	0	1	1	1	1	1	1	1	0	1
1739	2	.	1	1	1	1	1	0	0	0	0
1740	2	0	.	.	.	.	.	.	.	.	.
1741	2	0	1	0	1	1	1	1	1	1	1
1742	2	0	1	1	1	0	0	1	1	1	1
1743	2	0	1	1	1	0	0	0	1	1	1
1745	2	0	0	1	1	0	0	0	0	0	0
1746	2	0	1	1	1	1	1	1	1	0	0
1748	2	0	1	1	1	0	0	1	0	1	1
1749	2	.	0	1	0	0	1	1	1	1	0
1750	2	0	1	1	1	1	1	1	1	1	1
1753	2	.	.	.	.	.	.	.	.	.	.
1754	2	0	0	0	0	1	0	1	1	1	1
1755	2	0	1	0	1	0	0	1	1	1	1
1756	2	0	1	1	1	0	0	1	0	1	1
1757	2	.	1	1	1	0	0	0	1	1	1
1758	2	0	.	.	.	.	.	.	.	.	.
1759	2	.	0	1	0	0	0	0	1	1	0
1760	2	0	1	1	1	1	1	1	1	0	0
1761	2	0	1	1	1	0	0	1	1	1	1
1762	2	0	1	1	1	0	0	1	1	1	1
1764	2	0	.	.	.	.	.	.	.	.	.
1769	2	0	0	0	0	0	0	0	1	1	1
1773	2	.	0	1	1	0	1	0	0	1	0
1774	2	.	1	0	1	0	1	0	1	0	0
1775	2	.	0	0	0	0	0	1	0	1	1
1776	2	0	1	0	0	0	0	1	0	1	1
1777	2	.	0	1	1	0	1	0	1	1	0
1778	2	.	0	1	1	0	1	0	0	1	0
1779	2	0	0	1	1	0	0	1	1	0	1
1780	2	0	.	.	.	.	.	.	.	.	.
1781	2	0	1	1	1	0	0	1	1	0	1
1782	2	0	1	1	1	0	0	1	0	0	1
1788	2	0	.	.	.	.	.	.	.	.	.
1790	2	.	.	.	.	.	.	.	.	.	.
1791	2	.	1	1	0	1	0	1	0	1	0
1792	2	1	.	.	.	.	.	.	.	.	.
