     2.000 0 0 1 0 1 1 1 0 0      0.741      0.002      0.078      0.002      0.177    1
     2.000 1 0 0 1 1 1 0 1 0      0.473      0.025      0.049      0.002      0.452    1
     2.000 0 0 0 1 0 1 1 1 0      0.984      0.000      0.008      0.001      0.007    1
     2.000 0 0 0 0 0 1 0 1 0      0.789      0.000      0.207      0.001      0.003    1
     2.000 0 0 0 1 0 1 0 1 0      0.807      0.000      0.173      0.000      0.020    1
     2.000 0 0 1 0 1 0 1 1 1      0.931      0.011      0.002      0.007      0.049    1
     2.000 0 0 1 0 1 1 0 0 1      0.816      0.004      0.056      0.002      0.122    1
     2.000 0 0 1 1 0 0 0 1 1      0.720      0.002      0.052      0.004      0.223    1
     2.000 0 0 0 1 1 1 1 0 1      0.969      0.006      0.005      0.000      0.020    1
     2.000 1 0 0 0 0 1 1 1 1      0.714      0.002      0.000      0.282      0.002    1
     2.000 0 0 0 0 1 0 1 1 1      0.989      0.000      0.005      0.001      0.005    1
     2.000 0 0 0 1 0 1 1 0 0      0.756      0.000      0.218      0.000      0.026    1
     2.000 0 0 1 0 0 1 0 0 1      0.858      0.000      0.090      0.014      0.037    1
     2.000 0 0 1 1 0 1 0 0 1      0.747      0.002      0.064      0.005      0.183    1
     2.000 0 0 0 1 1 0 1 1 1      0.965      0.006      0.004      0.000      0.025    1
     2.000 0 0 0 1 1 1 1 1 0      0.968      0.004      0.005      0.000      0.022    1
     1.000 1 0 0 0 0 1 0 1 0      0.774      0.000      0.148      0.040      0.038    1
     1.000 1 0 0 0 0 1 0 0 1      0.775      0.000      0.130      0.061      0.034    1
     1.000 0 0 1 1 1 1 * 1 1      0.611      0.335      0.000      0.003      0.052    1
     1.000 1 0 0 * 1 1 1 1 1      0.720      0.225      0.000      0.041      0.014    1
     1.000 0 1 0 0 0 1 1 1 0      0.839      0.001      0.011      0.110      0.038    1
     1.000 0 0 0 0 0 * 1 1 0      0.928      0.000      0.067      0.002      0.002    1
     1.000 0 0 0 1 0 1 1 0 *      0.921      0.000      0.066      0.001      0.012    1
     1.000 0 0 0 1 1 1 0 1 0      0.816      0.001      0.115      0.000      0.068    1
     1.000 0 1 0 0 1 0 0 1 1      0.549      0.007      0.093      0.007      0.345    1
     1.000 * 0 1 0 0 1 1 1 0      0.732      0.002      0.003      0.234      0.029    1
     1.000 0 1 0 0 1 1 1 0 1      0.819      0.032      0.006      0.029      0.114    1
     1.000 0 1 0 1 0 0 1 1 1      0.722      0.015      0.006      0.048      0.208    1
     1.000 1 0 0 0 1 0 1 1 1      0.904      0.013      0.003      0.031      0.049    1
     1.000 1 0 0 0 0 0 1 0 1      0.729      0.000      0.137      0.075      0.058    1
     1.000 0 0 0 1 * 0 1 1 0      0.770      0.000      0.155      0.000      0.074    1
     1.000 1 0 0 1 * 0 0 1 1      0.542      0.022      0.052      0.008      0.376    1
     1.000 1 0 0 1 0 1 1 1 0      0.876      0.005      0.005      0.045      0.068    1
     1.000 0 0 1 1 1 1 * 1 0      0.625      0.059      0.014      0.001      0.302    1
     1.000 0 0 1 0 0 0 1 1 *      0.908      0.000      0.031      0.032      0.029    1
     1.000 0 0 1 1 1 1 0 0 1      0.510      0.033      0.029      0.001      0.428    1
     1.000 0 1 * 0 0 0 1 1 1      0.451      0.008      0.004      0.420      0.118    1
     1.000 0 0 0 1 1 0 1 1 0      0.763      0.001      0.121      0.000      0.115    1
     1.000 0 0 0 * * * * * *      0.540      0.001      0.450      0.001      0.008    1
     1.000 1 0 0 1 0 1 0 1 1      0.894      0.011      0.004      0.048      0.043    1
