1491	2	0	.	0	0	1	1	0	1	1	1	1	1
1492	2	0	.	1	1	0	1	0	1	0	0	1	1
1493	2	0	73.64	0	1	1	.	1	1	1	1	1	1
1494	2	0	60.28	0	1	1	1	1	1	1	1	1	1
1495	2	0	66	0	1	1	1	0	1	1	1	1	1
1497	2	.	.	0	0	0	1	1	1	1	1	1	0
1498	2	.	57.32	0	1	1	1	1	1	1	1	.	.
1504	2	0	49.5	0	1	1	1	0	0	0	0	0	0
1506	2	0	70.63	1	1	0	0	1	0	1	1	1	1
1509	2	.	.	0	0	1	1	0	1	1	1	1	1
1510	2	0	50.59	1	0	0	0	1	1	0	0	0	0
1511	2	0	51.73	1	0	0	1	0	0	1	1	0	1
1512	2	0	80.46	0	.	.	.	.	.	.	.	.	.
1518	2	0	.	1	.	.	.	.	.	.	.	.	.
1519	2	0	58.13	1	0	1	1	1	1	0	0	1	0
1520	2	.	64.76	1	1	1	1	1	0	1	1	1	0
1521	2	.	45.32	0	1	1	1	1	1	1	0	1	1
1522	2	0	67.58	0	.	.	.	.	.	.	.	.	.
1526	2	0	55.24	0	0	0	0	0	0	0	0	0	0
1527	2	0	66.39	0	.	.	.	.	.	.	.	.	.
1529	2	0	52.69	0	1	1	1	1	1	1	1	1	1
1532	2	0	44.94	0	1	1	1	1	0	0	0	1	1
1533	2	.	38.19	0	.	.	.	.	.	.	.	.	.
1534	2	0	69.96	1	0	0	1	1	1	0	0	0	1
1535	2	0	68.82	1	1	1	1	1	1	1	0	1	1
1537	2	0	52.87	0	.	.	.	.	.	.	.	.	.
1541	2	.	52.22	0	1	1	1	0	0	1	1	1	1
1542	2	0	56	1	1	0	1	1	1	1	1	1	0
1546	2	0	.	1	.	.	.	.	.	.	.	.	.
1547	2	0	66.13	0	1	1	1	1	0	1	1	1	1
1549	2	0	69.92	0	0	0	1	0	1	1	0	1	1
1550	2	0	58.68	1	1	1	1	1	1	1	1	1	1
1551	2	0	57.43	1	1	1	1	1	1	1	1	1	1
1552	2	0	43.57	0	0	0	1	0	0	1	1	.	1
1553	2	.	.	0	0	0	0	0	0	0	0	0	0
1558	2	0	48.83	1	1	1	1	1	1	1	0	1	1
1560	2	0	91.67	0	1	1	1	0	1	1	1	1	1
1566	2	.	59.34	0	1	1	1	1	0	0	1	1	0
1570	2	0	66.1	1	0	1	0	1	0	0	0	0	0
1572	2	0	49.64	1	0	0	1	0	1	1	0	0	0
1573	2	.	66.23	0	1	1	1	1	1	1	1	1	1
1575	2	0	38.42	0	0	0	0	0	0	0	0	0	0
1576	2	0	51.36	1	1	1	1	1	1	1	1	1	1
1577	2	.	44.11	1	0	0	0	0	1	1	1	1	1
1579	2	0	56.51	1	0	1	0	0	0	1	1	1	1
1580	2	.	48.24	1	0	0	0	0	0	1	1	.	1
1581	2	0	.	0	0	0	1	1	1	1	0	1	0
1584	2	.	32.75	0	0	0	0	0	0	0	0	1	1
1586	2	0	42.11	0	0	0	1	0	0	0	0	0	0
1587	2	0	54.81	1	0	0	0	0	0	0	1	0	0
1588	2	.	42.75	0	1	1	1	0	1	1	1	1	1
1590	2	0	.	0	.	.	.	.	.	.	.	.	.
1594	2	.	.	0	0	0	1	0	0	1	1	1	1
1595	2	0	72.66	0	.	.	.	.	.	.	.	.	.
1598	2	0	55.09	0	.	.	.	.	.	.	.	.	.
1599	2	0	54.31	0	1	1	0	0	1	1	0	1	1
1602	2	0	.	1	1	1	1	1	1	1	1	1	1
1606	2	0	.	1	1	1	1	1	1	1	0	1	1
1607	2	.	48.16	0	1	0	1	0	0	1	1	1	1
1609	2	0	.	0	1	1	1	0	0	1	1	1	0
1612	2	0	53.17	0	0	1	1	1	1	1	1	1	1
1614	2	.	36.58	0	0	1	0	0	1	0	0	0	0
