CASENUM,COHORT,RSTEMM,EMTHIRT,FEMALE,CB28A,CB28B,CB28C,CB28E,CB28G,CB28H,CB28I,CB28K,CB28L
1112,2,0,-98,1,2,3,2,4,4,3,2,3,3
1113,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1114,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1115,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1116,2,-95,54.21,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1117,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1118,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1119,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1120,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1121,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1122,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1123,2,0,50.86,0,1,2,2,4,4,1,1,1,1
1124,2,0,73.38,0,-98,-98,-98,-98,-98,-98,-98,-98,-98
1125,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1126,2,0,69.21,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1127,2,-95,40.46,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1128,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1129,2,0,51.19,0,3,2,2,-98,4,-98,2,1,2
1130,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1131,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1132,2,0,72.58,1,2,2,2,4,4,3,2,1,2
1133,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1134,2,0,68.62,0,2,2,2,4,4,2,2,2,2
1135,2,-95,50.7,0,1,1,1,5,5,1,1,1,1
1136,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1137,2,0,56.83,1,2,3,2,4,4,2,3,2,2
1138,2,-95,37.21,0,4,4,2,2,3,3,3,3,2
1139,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1140,2,1,84.21,0,2,1,2,5,5,2,2,2,2
1141,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1142,2,0,60.37,0,4,4,3,2,2,2,2,2,1
1143,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1144,2,0,47.86,0,2,3,3,3,3,3,3,3,3
1145,2,-95,-98,0,4,4,2,4,4,3,3,1,2
1146,2,-95,-96,0,1,1,2,5,4,1,2,1,2
1147,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1148,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1149,2,0,65.18,1,1,1,1,4,4,1,1,1,1
1150,2,-95,59.79,1,1,2,5,4,5,2,1,1,1
1151,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1152,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1153,2,0,39.99,1,5,5,2,4,5,2,1,2,2
1154,1,1,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1155,2,0,60.8,0,2,2,2,2,2,2,2,1,3
1156,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1157,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1158,2,0,69.14,1,2,2,2,4,4,1,1,2,1
1159,2,0,-98,0,2,2,2,3,5,1,3,1,1
1160,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1161,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1162,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1163,2,0,72.54,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1164,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1165,2,0,58.28,1,2,2,1,5,5,1,2,1,1
1166,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1167,2,0,-96,0,2,2,2,2,5,1,1,1,2
1168,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1169,2,0,-98,1,2,2,2,4,4,3,3,3,3
1170,2,0,36.31,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1171,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1172,2,0,-98,1,2,2,2,3,3,4,4,2,2
1173,2,1,61.06,0,2,2,2,4,4,1,1,2,2
1174,2,0,41.7,0,1,1,2,4,5,2,3,2,4
1175,2,0,67.08,1,1,1,1,4,5,2,2,1,2
1176,2,0,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1177,2,-95,37.27,0,2,1,1,1,1,1,1,1,1
1178,2,0,-96,0,4,2,-98,4,5,2,3,1,3
1179,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1180,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1181,2,-95,56.39,0,2,3,1,4,5,2,2,2,2
1182,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1183,2,-95,47.33,1,2,4,3,5,3,1,3,1,2
1184,2,0,66.37,1,2,2,2,2,4,3,3,2,3
1185,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1186,2,-95,-98,0,2,3,1,5,4,3,5,1,2
1187,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1188,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1189,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1190,2,0,81.51,0,1,1,1,3,5,1,1,1,1
1191,2,0,65.74,1,4,3,2,2,3,1,1,-98,1
1192,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1193,2,0,50.59,0,1,1,1,3,5,1,2,3,1
1194,2,0,-98,1,1,2,2,5,4,2,3,1,2
1195,2,-95,-98,0,2,2,3,2,2,2,2,3,3
1196,2,0,71.6,0,4,4,3,3,3,3,3,3,3
1197,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1198,2,0,51.22,0,4,5,4,3,4,3,4,1,2
1199,2,-95,-98,0,2,3,5,-96,3,4,2,4,2
1200,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1201,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1202,2,0,61.61,0,2,2,2,3,3,2,3,4,1
1203,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1204,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1205,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1206,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1207,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1208,2,0,60.26,0,2,3,2,2,3,3,1,3,3
1209,2,0,76.85,1,2,2,2,4,4,2,2,2,2
1210,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1211,2,-95,-98,1,3,3,4,3,5,-98,2,2,2
1212,2,0,-98,1,3,2,2,4,1,3,3,2,1
1213,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1214,2,1,72.69,1,1,1,1,5,5,2,3,2,3
1215,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1216,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1217,2,-95,-98,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1218,2,-95,51.56,1,2,2,3,4,5,2,2,2,2
1219,2,0,63.89,1,2,2,2,5,5,3,3,1,3
1220,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1221,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1222,2,0,54.37,1,5,5,4,4,4,5,4,4,5
